Gold (OG|GC) OG2Q6 (0.13 DTE) vs 4415.5 (+28.2) - Open Interest
Put: 5,857  Call: 5,163  Vol: 25.65  Vol Chg: 0.01  Future Chg: 28.2
Strike,Call,Put,Vol Settle
4355,0,15,0.2701566564410314
4360,34,25,0.26762195297851576
4365,10,11,0.2653621071076486
4370,6,66,0.26338195602511405
4375,35,78,0.2616856562344765
4380,12,35,0.2602766835843795
4385,1,30,0.25915783329764963
4390,39,25,0.2583312199531065
4395,4,38,0.2577982774237171
4400,354,149,0.25755975900392514
4405,9,16,0.25761573730778764
4410,70,23,0.25796560425442294
4415,112,105,0.25860807119534
4420,19,12,0.2595411687689193
4425,285,41,0.26076224696589634
4430,45,3,0.26226797517665545
4435,18,1,0.26405434210028034
4440,29,3,0.2661166557772958
4445,41,1,0.26844954364423756
4450,302,21,0.27104695243542665
4455,18,10,0.2739021482557291
4460,67,12,0.27700771655872813
4465,79,0,0.2803555621758278
4470,28,6,0.28393690921438974
4475,231,0,0.2877423012214422
